#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
2.37926333e+07 1.19435243e+01 5.49888325e+03 3.05045754e+12 7.23178748e+10 1.81731155e+07 6.82441290e+23 402
2.39892667e+07 1.19433536e+01 5.49877756e+03 3.05027178e+12 7.23142300e+10 1.81731155e+07 6.99425034e+23 402
2.41859000e+07 1.19431812e+01 5.49867086e+03 3.05008448e+12 7.23105545e+10 1.81731155e+07 7.16688095e+23 402
2.43825333e+07 1.19430075e+01 5.49856330e+03 3.04989565e+12 7.23068489e+10 1.81731155e+07 7.34232744e+23 402
2.45791667e+07 1.19428323e+01 5.49845485e+03 3.04970528e+12 7.23031131e+10 1.81731155e+07 7.52061253e+23 402
2.47758000e+07 1.19426557e+01 5.49834553e+03 3.04951338e+12 7.22993472e+10 1.81731155e+07 7.70175893e+23 402
2.49724333e+07 1.19424777e+01 5.49823534e+03 3.04931993e+12 7.22955511e+10 1.81731155e+07 7.88578936e+23 402
2.51690667e+07 1.19422983e+01 5.49812427e+03 3.04912496e+12 7.22917248e+10 1.81731155e+07 8.07272653e+23 402
2.53657000e+07 1.19421174e+01 5.49801233e+03 3.04892844e+12 7.22878684e+10 1.81731155e+07 8.26259315e+23 402
2.55623333e+07 1.19419352e+01 5.49789951e+03 3.04873039e+12 7.22839818e+10 1.81731155e+07 8.45541193e+23 402
2.57589667e+07 1.19417515e+01 5.49778581e+03 3.04853080e+12 7.22800651e+10 1.81731155e+07 8.65120557e+23 402
2.59556000e+07 1.19415664e+01 5.49767124e+03 3.04832967e+12 7.22761183e+10 1.81731155e+07 8.84999679e+23 402
2.61522333e+07 1.19413800e+01 5.49755580e+03 3.04812701e+12 7.22721413e+10 1.81731155e+07 9.05180827e+23 402
2.63488667e+07 1.19411921e+01 5.49743948e+03 3.04792282e+12 7.22681341e+10 1.81731155e+07 9.25666272e+23 402
2.65455000e+07 1.19410027e+01 5.49732228e+03 3.04771708e+12 7.22640969e+10 1.81731155e+07 9.46458283e+23 402
2.67421333e+07 1.19408120e+01 5.49720421e+03 3.04750982e+12 7.22600294e+10 1.81731155e+07 9.67559131e+23 402
2.69387667e+07 1.19406199e+01 5.49708527e+03 3.04730101e+12 7.22559319e+10 1.81731155e+07 9.88971084e+23 402
2.71354000e+07 1.19404263e+01 5.49696545e+03 3.04709067e+12 7.22518042e+10 1.81731155e+07 1.01069641e+24 402
2.73320333e+07 1.19402313e+01 5.49684475e+03 3.04687880e+12 7.22476464e+10 1.81731155e+07 1.03273738e+24 402
2.75286667e+07 1.19400350e+01 5.49672319e+03 3.04666539e+12 7.22434584e+10 1.81731155e+07 1.05509627e+24 402
2.77253000e+07 1.19398372e+01 5.49660074e+03 3.04645044e+12 7.22392404e+10 1.81731155e+07 1.07777533e+24 402
2.79219333e+07 1.19396380e+01 5.49647743e+03 3.04623396e+12 7.22349922e+10 1.81731155e+07 1.10077684e+24 402
2.81185667e+07 1.19394374e+01 5.49635323e+03 3.04601595e+12 7.22307139e+10 1.81731155e+07 1.12410307e+24 402
2.83152000e+07 1.19392353e+01 5.49622817e+03 3.04579640e+12 7.22264054e+10 1.81731155e+07 1.14775628e+24 402
2.85118333e+07 1.19390319e+01 5.49610223e+03 3.04557531e+12 7.22220669e+10 1.81731155e+07 1.17173875e+24 402
2.87084667e+07 1.19388270e+01 5.49597541e+03 3.04535269e+12 7.22176982e+10 1.81731155e+07 1.19605273e+24 402
2.89051000e+07 1.19386208e+01 5.49584773e+03 3.04512854e+12 7.22132994e+10 1.81731155e+07 1.22070050e+24 402
2.91017333e+07 1.19384131e+01 5.49571916e+03 3.04490285e+12 7.22088706e+10 1.81731155e+07 1.24568432e+24 402
2.92983667e+07 1.19382040e+01 5.49558973e+03 3.04467563e+12 7.22044116e+10 1.81731155e+07 1.27100646e+24 402
2.94950000e+07 1.19379935e+01 5.49545942e+03 3.04444687e+12 7.21999225e+10 1.81731155e+07 1.29666919e+24 402
2.96916333e+07 1.19377816e+01 5.49532823e+03 3.04421658e+12 7.21954033e+10 1.81731155e+07 1.32267477e+24 402
2.98882667e+07 1.19375683e+01 5.49519617e+03 3.04398476e+12 7.21908540e+10 1.81731155e+07 1.34902546e+24 402
3.00849000e+07 1.19373535e+01 5.49506324e+03 3.04375140e+12 7.21862746e+10 1.81731155e+07 1.37572354e+24 402
3.02815333e+07 1.19371374e+01 5.49492944e+03 3.04351651e+12 7.21816651e+10 1.81731155e+07 1.40277127e+24 402
3.04781667e+07 1.19369198e+01 5.49479476e+03 3.04328008e+12 7.21770255e+10 1.81731155e+07 1.43017091e+24 402
3.06748000e+07 1.19367009e+01 5.49465921e+03 3.04304213e+12 7.21723559e+10 1.81731155e+07 1.45792473e+24 402
3.08714333e+07 1.19364805e+01 5.49452278e+03 3.04280264e+12 7.21676561e+10 1.81731155e+07 1.48603499e+24 402
3.10680667e+07 1.19362587e+01 5.49438548e+03 3.04256161e+12 7.21629263e+10 1.81731155e+07 1.51450396e+24 402
3.12647000e+07 1.19360355e+01 5.49424731e+03 3.04231906e+12 7.21581664e+10 1.81731155e+07 1.54333390e+24 402
3.14613333e+07 1.19358109e+01 5.49410827e+03 3.04207497e+12 7.21533764e+10 1.81731155e+07 1.57252708e+24 402
3.16579667e+07 1.19355849e+01 5.49396835e+03 3.04182934e+12 7.21485563e+10 1.81731155e+07 1.60208576e+24 402
3.18546000e+07 1.19353574e+01 5.49382756e+03 3.04158219e+12 7.21437062e+10 1.81731155e+07 1.63201219e+24 402
3.20512333e+07 1.19351286e+01 5.49368590e+03 3.04133350e+12 7.21388260e+10 1.81731155e+07 1.66230866e+24 402
3.22478667e+07 1.19348983e+01 5.49354336e+03 3.04108328e+12 7.21339157e+10 1.81731155e+07 1.69297741e+24 402
3.24445000e+07 1.19346667e+01 5.49339995e+03 3.04083153e+12 7.21289754e+10 1.81731155e+07 1.72402071e+24 402
3.26411333e+07 1.19344336e+01 5.49325567e+03 3.04057825e+12 7.21240050e+10 1.81731155e+07 1.75544082e+24 402
3.28377667e+07 1.19341991e+01 5.49311052e+03 3.04032344e+12 7.21190046e+10 1.81731155e+07 1.78724001e+24 402
3.30344000e+07 1.19339632e+01 5.49296449e+03 3.04006709e+12 7.21139740e+10 1.81731155e+07 1.81942054e+24 402
3.32310333e+07 1.19337259e+01 5.49281759e+03 3.03980921e+12 7.21089135e+10 1.81731155e+07 1.85198466e+24 402
3.34276667e+07 1.19334872e+01 5.49266982e+03 3.03954981e+12 7.21038229e+10 1.81731155e+07 1.88493464e+24 402
