#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
2.07368000e+07 8.13169601e+00 3.17146495e+03 4.45614055e+11 2.08214595e+10 1.85227378e+07 3.06234454e+23 402
2.08426000e+07 8.13158111e+00 3.17138046e+03 4.45573603e+11 2.08206785e+10 1.85227378e+07 3.10931021e+23 402
2.09484000e+07 8.13146564e+00 3.17129554e+03 4.45532944e+11 2.08198936e+10 1.85227378e+07 3.15675322e+23 402
2.10542000e+07 8.13134957e+00 3.17121019e+03 4.45492080e+11 2.08191047e+10 1.85227378e+07 3.20467598e+23 402
2.11600000e+07 8.13123293e+00 3.17112441e+03 4.45451010e+11 2.08183118e+10 1.85227378e+07 3.25308090e+23 402
2.12658000e+07 8.13111569e+00 3.17103820e+03 4.45409734e+11 2.08175149e+10 1.85227378e+07 3.30197038e+23 402
2.13716000e+07 8.13099787e+00 3.17095156e+03 4.45368252e+11 2.08167141e+10 1.85227378e+07 3.35134681e+23 402
2.14774000e+07 8.13087947e+00 3.17086449e+03 4.45326564e+11 2.08159092e+10 1.85227378e+07 3.40121261e+23 402
2.15832000e+07 8.13076048e+00 3.17077699e+03 4.45284670e+11 2.08151004e+10 1.85227378e+07 3.45157018e+23 402
2.16890000e+07 8.13064091e+00 3.17068905e+03 4.45242570e+11 2.08142876e+10 1.85227378e+07 3.50242191e+23 402
2.17948000e+07 8.13052075e+00 3.17060069e+03 4.45200264e+11 2.08134709e+10 1.85227378e+07 3.55377021e+23 402
2.19006000e+07 8.13039874e+00 3.17051115e+03 4.45157753e+11 2.08126540e+10 1.85227378e+07 3.60561749e+23 402
2.20064000e+07 8.13027586e+00 3.17042101e+03 4.45115035e+11 2.08118340e+10 1.85227378e+07 3.65796612e+23 402
2.21122000e+07 8.13015239e+00 3.17033044e+03 4.45072112e+11 2.08110101e+10 1.85227378e+07 3.71081853e+23 402
